Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
18	8	27.018	95.328	21.294	67.872	3	46.31	13	7	47	15	13	23	3	5.456	17.616	0.006556474	0.038259686	3.768097143	4.768917143	0.945352857	5.335695714	34270600	6395658.571	4548515.714	0.960287857	0.688458857	1.147681429	0.625516857
19	9	24.462	95.712	20.826	85.152	4	41.87	6	6	39	10	13	42	6	5.072	6.96	0	0.0309537	3.514444286	4.513371429	0.99992	2.78959	29815071.43	7413522.857	9992518.571	0.967162	0.797881571	1.222971429	0.680059
20	12	26.55	55.776	23.31	73.632	7	49.85	6	12	15	12	9	34	6	5.168	19.792	0.290775714	0.570723571	5.29928	33.88254286	0.99992	2.755865714	32038657.14	11741442.86	5992082.857	0.414276	0.116784571	0.670618571	0.425636857
21	11	35.622	128.352	20.034	69.6	8	41.39	14	13	50	5	7	15	3	9.84	7.12	0	0.025035314	3.515592857	4.51457	0.760683571	2.788521429	31769085.71	8309284.286	814216.2857	0.973438571	0.803135429	1.22283	0.680178286
22	18	21.978	75.168	20.898	134.304	6	20.75	6	13	25	11	12	21	4	12.048	10.8	0	0.007670004	3.547181429	4.546674286	0.413304429	24.25217143	33842385.71	23304328.57	2778554.286	0.991849	0.816404429	1.216945714	0.682158857
23	21	24.57	72.864	28.494	112.608	8	46.85	8	7	43	11	5	36	3	9.68	4.912	0	0.014843814	3.480517143	4.479282857	0.577725429	21.58027143	30859485.71	591217	6138987.143	0.984183286	0.814070571	1.228837143	0.678099571
24	21	31.05	112.416	34.722	139.68	11	48.53	10	14	30	13	8	33	7	17.52	14.32	0.186218143	0.678066143	4.824175714	57.9018	0.386619571	22.17844286	32912142.86	7514678.571	2237458.571	0.264887714	0.084049143	0.710458857	0.452712286
25	20	22.086	96.096	34.362	87.264	9	41.15	7	11	34	12	11	20	3	14.16	7.312	0	0.0136897	3.490662857	4.48947	0.421864571	21.75762857	31668657.14	9497657.143	8573.905714	0.985421429	0.814532571	1.227178571	0.678666
26	19	20.394	88.992	22.626	138.72	6	42.71	11	5	31	14	11	20	6	18.768	4.112	0	0.015256157	3.477478571	4.515748571	0.265724	54.02208571	35213071.43	6575537.143	42724.94286	0.983865857	0.812473571	1.228414286	0.677186857
27	22	26.73	109.536	25.794	51.936	8	44.09	13	8	33	14	8	44	3	19.632	13.936	0	0.014704586	3.49146	4.676312857	0.501267143	11.41362857	31171957.14	361232	2928472.857	0.984601714	0.806289143	1.218497143	0.677133857
28	19	32.274	138.912	26.226	112.224	4	30.35	11	10	19	7	15	36	6	19.952	9.232	0.317442286	0.784014429	5.302425714	109.9998571	0.692047429	4.156988571	29749600	12265642.86	832995.8571	0.155302286	0.041127914	0.634933571	0.422153714
29	11	25.218	105.504	26.298	122.4	9	41.75	14	11	34	7	6	19	3	6.896	13.136	0	0.025253257	3.489177143	4.487972857	0.395113714	23.54737143	33960614.29	7224747.143	215195.1429	0.973134143	0.804444857	1.227572857	0.678540429
30	24	28.926	74.016	23.634	69.024	6	24.95	7	9	18	13	13	40	6	7.152	10.384	0	0.006916829	3.571027143	4.570834286	0.99992	2.757185714	33025685.71	14112714.29	12608814.29	0.992651143	0.816538714	1.213427143	0.683807571
31	9	31.23	54.432	18.702	136.032	3	42.53	10	13	30	6	6	27	3	15.248	14.608	0	0.031441314	3.511392857	4.510295714	0.672345143	4.179862857	30003257.14	7546727.143	1611542.857	0.966634857	0.797407	1.223297143	0.679812143
32	18	25.686	93.6	26.946	122.592	5	20.21	8	6	34	9	9	29	5	5.584	4.08	0	0.007470363	3.588187143	4.58851	0.99992	2.770037143	33610142.86	10039011.43	10535985.71	0.992081571	0.814750571	1.210017143	0.684885286
33	12	26.082	48.096	20.43	125.664	5	27.41	11	15	31	8	14	41	5	13.296	19.6	0	0.015197643	3.561147143	4.560838571	0.927072714	4.580524286	28747700	13483042.86	3017651.429	0.983921571	0.809673857	1.215034286	0.683154143
34	12	35.082	127.776	19.17	97.824	2	21.29	6	14	45	13	8	26	4	11.984	16.848	0	0.011804357	3.554455714	4.55412	0.558651571	13.1308	31799071.43	13009885.71	6579948.571	0.987493	0.812860571	1.21595	0.682772429
35	13	20.358	105.696	34.938	121.056	4	23.15	6	9	50	7	5	12	3	16.88	15.792	0	0.011848314	3.54271	4.542224286	0.331301429	18.20265714	34392285.71	15349328.57	16769771.43	0.987429143	0.813568429	1.218722857	0.681697
36	11	21.618	68.832	25.614	73.44	11	46.19	8	11	48	13	10	16	6	11.856	17.936	0	0.0279389	3.481415714	4.480197143	0.352431571	26.23728571	32332385.71	8380005.714	6913744.286	0.970258714	0.802417286	1.2287	0.678141286
37	16	25.398	98.4	35.298	67.296	8	41.33	6	8	41	13	8	35	3	9.232	8.848	0	0.017186771	3.51546	4.514391429	0.99992	2.790348571	28716928.57	11806.12143	3885791.429	0.981757429	0.810004714	1.222814286	0.680154
38	23	27.63	57.696	31.698	77.472	11	31.31	7	5	20	10	6	30	4	14.608	14.224	0	0.009057377	3.518012857	4.5171	0.480978714	16.18012857	29801314.29	1288662.857	2570884.286	0.990360286	0.817066286	1.222344286	0.680355571
39	14	34.902	121.824	18.954	106.848	5	49.31	9	10	14	7	12	47	2	15.44	12.336	0.657068571	0.809531429	6.014115714	104.219	0.836400143	5.020191429	26236900	7454262.857	59065	0.172663	0.037513786	0.571678429	0.382501
40	17	24.426	91.872	30.042	122.784	11	22.31	5	13	20	6	10	17	3	11.696	13.968	0	0.00873163	3.540754286	4.540065714	0.297614857	26.1377	31059928.57	22533800	70084.61429	0.990723714	0.815915714	1.218302857	0.681682714
41	18	25.362	100.32	30.078	74.784	4	33.65	12	13	35	11	7	26	5	10.288	7.216	0	0.012438343	3.523157143	4.522311429	0.845697571	11.74885714	31924671.43	4552790	1319782.857	0.986789	0.813880429	1.221581429	0.680656
42	20	30.042	106.464	28.746	85.92	12	32.15	11	14	36	5	6	37	6	6.288	8.592	0	0.0106954	3.544027143	4.543448571	0.99992	2.769832857	30408128.57	9149067.143	7666225.714	0.988651429	0.814568143	1.218164286	0.682018429
43	14	26.19	110.88	28.53	128.544	6	45.05	7	8	27	6	7	15	3	13.008	11.312	0.180910571	0.589564857	4.838935714	37.82965714	0.266073857	33.10918571	31716557.14	8658594.286	2237714.286	0.371009	0.120176	0.722564714	0.454085143
44	21	33.534	85.152	21.798	108.576	4	44.03	6	9	37	7	6	46	6	8.368	7.856	0	0.013950286	3.497365714	4.496187143	0.847957286	13.05921429	24490357.14	78705.35714	4164122.857	0.985156714	0.813873714	1.225895714	0.679084
45	22	25.866	60.384	31.662	143.52	10	26.21	9	6	45	9	8	38	5	4.912	17.456	0	0.007926656	3.565335714	4.565074286	0.99992	2.747458571	33644914.29	6108444.286	17992057.14	0.991586143	0.815986286	1.214442857	0.683448714
46	20	27.342	87.84	21.762	69.216	6	34.85	10	8	22	12	15	47	2	16.528	19.28	0	0.012477357	3.533955714	4.67812	0.676687429	5.221848571	26722285.71	1726021.429	647793.5714	0.986949571	0.807436143	1.21327	0.679930143
47	13	26.334	51.168	25.074	124.128	7	32.33	7	10	23	14	11	37	4	8.528	4.336	0	0.016546529	3.543417143	4.542827143	0.99992	2.781417143	31527628.57	7710614.286	1338801.429	0.982474857	0.809457286	1.218267143	0.681981143
48	20	19.602	126.432	33.678	109.728	10	40.79	14	10	17	9	7	13	7	12.496	11.888	0.467236714	0.810982571	5.68854	114.4384286	0.252085	56.91275714	37392414.29	18574857.14	2237684.286	0.152580429	0.035341814	0.597183857	0.389917143
49	9	21.114	52.704	32.454	69.408	10	42.23	11	6	32	5	9	26	3	14.128	5.136	0	0.031219871	3.513832857	4.51278	0.717860857	2.829862857	27517971.43	121198.4286	4968957.143	0.966873857	0.797644143	1.223071429	0.679986571
50	15	18.666	143.904	25.65	89.952	6	43.61	5	6	43	9	11	15	6	9.488	16.336	0	0.019343986	3.483055714	4.481852857	0.325398571	34.53685714	29771142.86	7099260	267415.8571	0.979405	0.809998	1.228518571	0.678234143
51	17	35.19	117.408	24.39	88.416	3	28.25	14	9	24	11	11	36	5	16.944	18.64	0	0.011096771	3.549308571	4.557318571	0.701966714	7.257001429	31532557.14	3344727.143	92701.58571	0.988250429	0.813721429	1.216862857	0.682348286
52	19	20.466	139.68	29.574	103.008	5	40.43	10	13	43	13	11	14	5	11.28	4.528	0	0.014158086	3.480537143	4.47933	0.318468429	58.15578571	35390742.86	18096628.57	2686.466286	0.984908286	0.814806857	1.22911	0.678053
