Simulation;const ed num Emergency Room;const mipw time Treatment LOS[mbed2];const mipw time Treatment LOS[mbed3];const sipw time Treatment LOS[mbed2];const sipw time Treatment LOS[mbed3];const surg num PostOp Beds;edMeanValue ppd;init L MEDBED AVAIL[mbed1];init L MEDBED AVAIL[mbed2];init L MEDBED AVAIL[mbed3];init L SURGBED AVAIL[mbed1];init L SURGBED AVAIL[mbed2];init L SURGBED AVAIL[mbed3];init L SURGERY OR AVAIL;isuMeanValue ppd;osuMeanValue ppd;f1pcntEDLWBS;f2pcntEDRMBLKD;f3timeEDdischarge;f4timeEDadmission;f5pcntSUcompletion;f6timeSUcompletion;f7numICUoccupy;f8numPCUoccupy;f9numACUoccupy;yOEE1avail;yOEE1c;yOEE1perf;yOEE1qual
22;18;21.978;75.168;20.898;134.304;6;20.75;6;13;25;11;12;21;4;12.048;10.8;0;0.007670004;3.547.181.429;4.546.674.286;0.413304429;2.425.217.143;33842385.71;23304328.57;2.778.554.286;0.991849;0.816404429;1.216.945.714;0.682158857
23;21;24.57;72.864;28.494;112.608;8;46.85;8;7;43;11;5;36;3;9.68;4.912;0;0.014843814;3.480.517.143;4.479.282.857;0.577725429;2.158.027.143;30859485.71;591217;6.138.987.143;0.984183286;0.814070571;1.228.837.143;0.678099571
24;21;31.05;112.416;34.722;139.68;11;48.53;10;14;30;13;8;33;7;17.52;14.32;0.186218143;0.678066143;4.824.175.714;579.018;0.386619571;2.217.844.286;32912142.86;7.514.678.571;2.237.458.571;0.264887714;0.084049143;0.710458857;0.452712286
25;20;22.086;96.096;34.362;87.264;9;41.15;7;11;34;12;11;20;3;14.16;7.312;0;0.0136897;3.490.662.857;448.947;0.421864571;2.175.762.857;31668657.14;9.497.657.143;8.573.905.714;0.985421429;0.814532571;1.227.178.571;0.678666
26;19;20.394;88.992;22.626;138.72;6;42.71;11;5;31;14;11;20;6;18.768;4.112;0;0.015256157;3.477.478.571;4.515.748.571;0.265724;5.402.208.571;35213071.43;6.575.537.143;4.272.494.286;0.983865857;0.812473571;1.228.414.286;0.677186857
27;22;26.73;109.536;25.794;51.936;8;44.09;13;8;33;14;8;44;3;19.632;13.936;0;0.014704586;349.146;4.676.312.857;0.501267143;1.141.362.857;31171957.14;361232;2.928.472.857;0.984601714;0.806289143;1.218.497.143;0.677133857
28;19;32.274;138.912;26.226;112.224;4;30.35;11;10;19;7;15;36;6;19.952;9.232;0.317442286;0.784014429;5.302.425.714;1.099.998.571;0.692047429;4.156.988.571;29749600;12265642.86;8.329.958.571;0.155302286;0.041127914;0.634933571;0.422153714
29;11;25.218;105.504;26.298;122.4;9;41.75;14;11;34;7;6;19;3;6.896;13.136;0;0.025253257;3.489.177.143;4.487.972.857;0.395113714;2.354.737.143;33960614.29;7.224.747.143;2.151.951.429;0.973134143;0.804444857;1.227.572.857;0.678540429
30;24;28.926;74.016;23.634;69.024;6;24.95;7;9;18;13;13;40;6;7.152;10.384;0;0.006916829;3.571.027.143;4.570.834.286;0.99992;2.757.185.714;33025685.71;14112714.29;12608814.29;0.992651143;0.816538714;1.213.427.143;0.683807571
31;9;31.23;54.432;18.702;136.032;3;42.53;10;13;30;6;6;27;3;15.248;14.608;0;0.031441314;3.511.392.857;4.510.295.714;0.672345143;4.179.862.857;30003257.14;7.546.727.143;1.611.542.857;0.966634857;0.797407;1.223.297.143;0.679812143
32;18;25.686;93.6;26.946;122.592;5;20.21;8;6;34;9;9;29;5;5.584;4.08;0;0.007470363;3.588.187.143;458.851;0.99992;2.770.037.143;33610142.86;10039011.43;10535985.71;0.992081571;0.814750571;1.210.017.143;0.684885286
33;12;26.082;48.096;20.43;125.664;5;27.41;11;15;31;8;14;41;5;13.296;19.6;0;0.015197643;3.561.147.143;4.560.838.571;0.927072714;4.580.524.286;28747700;13483042.86;3.017.651.429;0.983921571;0.809673857;1.215.034.286;0.683154143
34;12;35.082;127.776;19.17;97.824;2;21.29;6;14;45;13;8;26;4;11.984;16.848;0;0.011804357;3.554.455.714;455.412;0.558651571;131.308;31799071.43;13009885.71;6.579.948.571;0.987493;0.812860571;121.595;0.682772429
35;13;20.358;105.696;34.938;121.056;4;23.15;6;9;50;7;5;12;3;16.88;15.792;0;0.011848314;354.271;4.542.224.286;0.331301429;1.820.265.714;34392285.71;15349328.57;16769771.43;0.987429143;0.813568429;1.218.722.857;0.681697
36;11;21.618;68.832;25.614;73.44;11;46.19;8;11;48;13;10;16;6;11.856;17.936;0;0.0279389;3.481.415.714;4.480.197.143;0.352431571;2.623.728.571;32332385.71;8.380.005.714;6.913.744.286;0.970258714;0.802417286;12.287;0.678141286
37;16;25.398;98.4;35.298;67.296;8;41.33;6;8;41;13;8;35;3;9.232;8.848;0;0.017186771;351.546;4.514.391.429;0.99992;2.790.348.571;28716928.57;1.180.612.143;3.885.791.429;0.981757429;0.810004714;1.222.814.286;0.680154
38;23;27.63;57.696;31.698;77.472;11;31.31;7;5;20;10;6;30;4;14.608;14.224;0;0.009057377;3.518.012.857;45.171;0.480978714;1.618.012.857;29801314.29;1.288.662.857;2.570.884.286;0.990360286;0.817066286;1.222.344.286;0.680355571
