Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
1	18	28.782	111.264	23.49	87.648	5	38.33	10	9	30	13	11	37	5	10.512	13.584	0	0.01436768	3.524116	4.5542	0.99992	3.435948	30485080	2818658	11318.836	0.9848262	0.8107974	1.220136	0.6802966
2	19	27.054	92.256	29.106	72.096	6	39.41	10	11	34	8	9	34	4	14.64	11.76	0	0.01380256	3.520346	4.519388	0.8827462	3.260574	26854060	1516530	1071032	0.9853594	0.8127154	1.221962	0.680449
3	15	30.51	120.48	22.734	90.528	5	27.71	12	13	38	8	13	22	5	11.184	15.312	0	0.01229276	3.53696	4.536282	0.6174478	13.08778	32135080	15645640	1474038	0.9869682	0.8132756	1.219222	0.6814868
4	17	24.462	110.112	21.762	103.2	7	41.57	9	12	31	9	8	40	4	12.336	12.72	0	0.01720778	3.514304	4.626366	0.9598628	4.002396	26565160	1726320	197441.4	0.9819314	0.8053834	1.2178	0.6789566
5	12	24.894	102.048	27.918	101.472	6	35.45	10	10	24	8	11	41	4	8.016	10.224	0	0.07656842	3.533516	7.24904	0.99992	2.768574	29818520	6910440	516125.6	0.9205172	0.6971272	1.138948	0.6662574
6	14	23.598	115.296	22.95	112.416	6	26.63	13	11	29	11	10	38	5	14.544	16.56	0	0.01265742	3.56387	4.563618	0.9104662	3.437868	31608160	6063386	157676.2	0.9866094	0.8118506	1.214668	0.683322
7	17	31.158	113.568	29.538	100.896	7	31.85	7	9	28	10	10	21	4	10.608	14.16	0	0.01246712	3.518008	4.517086	0.4893522	17.13036	31593820	8844066	439875.2	0.986765	0.8140926	1.222492	0.6802864
8	14	28.674	117.6	32.346	68.064	4	30.77	12	12	40	13	8	30	5	12.048	14.352	0	0.01462538	3.530088	4.529332	0.7201418	11.38756	32186040	3546654	3146706	0.9845018	0.8116624	1.220408	0.6811114
9	21	26.514	68.064	29.754	92.256	8	42.47	8	13	35	9	8	37	6	13.488	14.448	0	0.01345766	3.51207	4.510976	0.9025116	3.381954	26157940	2151394	1682508	0.9857144	0.8133768	1.223216	0.6799684
10	13	28.89	124.512	22.41	83.616	9	42.11	11	12	37	9	10	35	5	15.312	13.104	0	0.02155524	3.51374	4.512678	0.8710712	2.810482	27836180	3170602	50113.02	0.9771292	0.806201	1.223076	0.680026
11	20	27.27	96.864	27.594	105.504	6	27.17	10	9	37	8	8	25	6	10.32	8.592	0	0.009039838	3.561792	4.561532	0.8733132	3.215906	31293120	5471698	2810616	0.990415	0.8151304	1.215076	0.6831726
12	17	27.378	123.936	24.894	107.232	9	43.91	11	10	27	8	11	24	4	8.4	9.168	0.241109	0.678729	5.046018	56.08166	0.764174	11.29704	31759360	9769840	2236932	0.2755812	0.08137484	0.682269	0.4386398
13	19	28.458	86.496	32.022	93.408	5	40.67	9	8	30	9	9	34	6	9.552	11.088	0	0.01424388	3.517134	4.516112	0.9956944	2.97722	27986800	317572.6	13201.232	0.9848886	0.8124904	1.22255	0.6802286
14	21	30.402	81.888	30.402	123.936	7	35.63	10	11	32	12	12	30	6	15.504	7.536	0	0.01129026	3.509954	4.508934	0.5200396	20.53794	32630760	9858370	166054.8	0.9879984	0.8155392	1.223904	0.6797648
15	15	28.026	109.536	32.238	110.688	4	41.93	12	12	22	13	11	32	6	9.936	13.872	0.2828712	0.6821696	5.21633	55.4079	0.8474064	9.771226	33180200	8818670	1827304	0.2820378	0.07901472	0.6628534	0.428042
16	15	30.834	76.128	27.054	117.024	6	29.51	7	13	32	9	11	28	4	15.12	8.016	0	0.01309128	3.535792	4.535106	0.623524	11.6313	29755000	12683460	1451252	0.9861252	0.8127518	1.219626	0.6813774
17	15	23.814	80.736	27.378	91.68	4	34.01	8	10	33	13	8	25	4	12.624	8.88	0	0.01508774	3.518292	4.517378	0.6556278	13.3379	31579780	3852446	1154670	0.9840018	0.811682	1.222318	0.6803192
18	19	21.654	123.36	31.374	72.672	6	43.01	13	10	27	9	12	37	5	16.656	8.208	0.193029	0.6808948	4.874394	59.71186	0.865599	3.124668	28898740	2620752	118224.78	0.2586882	0.0815078	0.7038794	0.4529024
19	20	22.95	91.68	22.194	79.008	5	34.55	11	8	39	11	8	37	5	7.344	10.032	0	0.01149538	3.536152	4.535424	0.99992	2.768426	32462440	3211400	10593740	0.9878086	0.8140276	1.219396	0.6814318
20	14	23.49	108.384	24.354	96.864	6	41.39	8	12	36	12	13	42	5	11.28	10.512	0	0.0196731	3.515412	4.514342	0.99992	2.788648	27978820	6012150	321912	0.9791298	0.8077772	1.222804	0.680127
21	14	25.326	111.84	23.274	121.056	5	39.05	9	9	25	11	8	20	6	8.88	7.344	0.126823	0.5960218	4.62115	40.67646	0.5232146	30.19598	33818040	8697344	2237084	0.3472782	0.1228538	0.7532792	0.473971
22	14	25.542	95.136	25.866	82.464	5	29.33	8	8	28	10	9	23	5	16.368	15.216	0	0.0139409	3.554324	4.553908	0.754914	3.537878	30237360	3761670	330259.8	0.985252	0.8110746	1.216268	0.682651
23	11	23.382	84.192	30.618	73.248	8	41.21	8	12	27	8	8	24	4	8.112	11.184	0	0.02492968	3.515836	4.514778	0.9866162	2.772482	27655620	4160952	29728.06	0.9735536	0.803131	1.222756	0.6801476
24	16	30.294	106.08	29.97	76.128	9	39.95	8	11	39	9	11	31	3	13.008	9.36	0	0.01661504	3.519344	4.518378	0.9065648	3.06458	26407880	3327884	394888	0.9823796	0.810319	1.222198	0.6803694
25	14	27.81	72.672	21.654	83.04	10	39.77	8	12	38	8	9	24	6	15.6	15.6	0	0.01890304	3.519644	4.518676	0.77638	2.762524	27754720	6350356	3047706	0.9799556	0.8082766	1.222148	0.6803826
