Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
26	13	31.05	99.744	26.406	74.4	6	39.23	8	8	28	10	7	39	4	16.56	15.408	0	0.02129338	3.500316	4.617804	0.4983098	13.7925	28166260	11069.54	1032094	0.9776328	0.8024434	1.220052	0.6780642
27	14	31.698	103.2	27.702	87.072	8	36.35	9	11	36	10	12	23	4	7.824	10.416	0	0.0172775	3.523356	4.522424	0.9389402	6.56621	30637160	9002538	112304.8	0.9816832	0.8096832	1.221896	0.6805216
28	19	31.914	97.44	25.974	99.744	7	30.05	7	11	42	12	10	22	5	9.84	8.304	0	0.0105244	3.528554	4.527762	0.666074	16.14032	32296340	11024840	3855516	0.9888298	0.81527	1.220736	0.6809286
29	17	23.166	121.632	28.458	96.288	8	34.19	13	7	40	9	11	28	4	8.592	11.664	0	0.01338306	3.537256	4.536556	0.99992	2.764556	31710040	3367522	528321	0.9858198	0.8123262	1.219198	0.6815156
30	17	24.138	115.872	28.35	123.36	6	28.25	8	9	37	10	10	40	5	14.064	10.32	0	0.01105794	3.557898	4.557566	0.870177	2.93985	28870400	3819182	974793.8	0.9882926	0.8134596	1.215692	0.6828938
31	20	27.594	110.688	24.138	93.984	5	40.31	13	8	21	8	10	23	5	13.776	12.336	0.2925816	0.751788	5.219954	82.567	0.7527478	8.190588	32430340	6186800	2193954	0.2008486	0.0551289	0.6526766	0.425745
32	12	22.41	99.168	25.218	120.48	7	30.59	9	11	26	7	8	23	4	16.272	9.072	0	0.0169629	3.550052	4.549556	0.6125766	2.78659	31411580	11170440	6405.292	0.9820542	0.8087278	1.217114	0.682379
33	19	27.486	114.72	21.978	103.776	5	27.89	7	8	34	9	13	27	6	10.032	12.624	0	0.009767796	3.544104	4.543576	0.8254874	9.743164	28967440	9160238	533627.2	0.9896364	0.8152696	1.218186	0.6819258
34	18	26.19	90.528	32.13	114.144	4	28.79	9	12	29	10	12	27	3	10.416	14.736	0	0.01064324	3.532848	4.53209	0.5756144	12.25846	32048580	13384080	383341.6	0.9887064	0.8149302	1.219948	0.6812108
35	18	30.726	77.28	22.518	80.16	10	27.35	11	12	21	10	12	31	4	9.072	9.552	0	0.01011084	3.561134	4.56084	0.99992	2.760864	31823540	12240520	2251120	0.9892888	0.8141978	1.21517	0.6831228
36	15	27.918	79.008	24.57	110.112	7	40.49	12	9	25	13	11	39	4	8.688	7.632	0	0.01796228	3.517644	4.516634	0.99992	2.780128	32135260	3897004	80078.3	0.9809512	0.8092008	1.222476	0.6802586
37	18	25.866	112.992	25.326	88.8	10	36.71	10	10	40	12	9	33	5	14.352	10.704	0	0.01357118	3.529474	4.528624	0.885198	2.808552	29758680	1598028	536655.6	0.9856136	0.8124986	1.220512	0.680998
38	14	28.35	98.592	23.598	102.624	9	34.73	11	11	20	9	11	20	3	16.08	9.744	0.1416564	0.6398034	4.691214	48.95418	0.3768772	20.2984	33498920	14287180	2236356	0.3033696	0.1037652	0.7379932	0.4684916
39	13	29.754	107.808	28.134	97.44	4	43.19	12	12	39	8	10	29	4	12.912	11.28	0	0.02210786	3.510786	4.509686	0.823341	3.713024	29773780	5135748	6166.98	0.9765354	0.8058666	1.22356	0.6798516
40	13	26.946	87.072	25.434	71.52	9	27.53	8	11	21	12	10	21	3	10.128	11.856	0	0.01409186	3.548074	4.54761	0.8525762	6.935248	31209600	8171636	112969.3	0.9850866	0.81133	1.217598	0.6821622
41	20	25.002	89.952	31.266	81.888	9	30.41	9	10	36	12	9	30	3	14.448	9.264	0	0.01011784	3.550714	4.550246	0.8607806	3.104994	30207940	2645322	2496722	0.9892706	0.8146986	1.216958	0.6824426
42	12	24.03	104.352	31.482	70.944	8	29.87	7	8	30	12	9	29	6	12.816	8.496	0	0.01656368	3.552842	4.552404	0.9492258	2.781864	28635140	665120	511388.6	0.9824814	0.8089316	1.216626	0.6825632
43	16	29.214	71.52	22.842	114.72	8	42.65	8	10	25	11	9	42	4	11.856	14.256	0	0.017738	3.512542	4.511434	0.9786518	2.85362	27176360	779870.8	153323	0.9811786	0.8096138	1.223244	0.6799582
44	12	24.678	100.896	30.726	122.208	6	41.03	11	11	33	8	8	38	5	12.24	7.44	0	0.02275236	3.516144	4.51514	0.8289872	3.013592	29355100	2621658	3676.124	0.9758656	0.8050632	1.222686	0.6801974
45	16	22.086	93.984	24.678	88.224	9	29.69	11	12	23	10	12	30	6	12.144	16.464	0	0.01234788	3.55322	4.552782	0.9706426	2.758088	30070100	8331716	115141.22	0.9869272	0.8125668	1.216512	0.6825822
46	13	31.374	70.368	29.214	115.872	6	34.37	12	11	36	10	12	42	5	7.632	15.696	0	0.01759294	3.536604	4.535886	0.99992	2.767548	32299840	9644114	6694684	0.9813724	0.808635	1.219298	0.6814632
47	20	23.274	83.616	26.298	118.176	7	36.17	10	7	35	8	7	21	5	9.456	12.144	0	0.01203442	3.504222	4.503124	0.4762832	22.56842	32434580	3209290	1386634	0.987205	0.8152022	1.22494	0.679395
48	15	26.298	83.04	30.51	75.552	10	33.83	8	11	22	7	11	29	6	8.304	12.048	0	0.01500778	3.538314	4.537644	0.99992	2.762982	27618880	7922786	318946.6	0.9841086	0.8108746	1.219038	0.6815856
49	14	30.618	91.104	26.838	107.808	9	37.25	12	9	21	12	7	40	5	9.648	8.784	0.1132976	0.6040166	4.59709	42.31342	0.99992	2.77439	32051140	687835.8	7052.928	0.3394894	0.1230964	0.758983	0.4816176
50	16	25.11	84.768	31.914	81.312	7	36.89	12	9	23	8	11	41	5	10.8	10.992	0	0.01543476	3.528894	4.541902	0.99992	2.767196	28884200	2218876	584179.2	0.9836822	0.8103926	1.220124	0.680799
51	18	29.538	75.552	24.462	119.328	7	35.81	9	8	20	7	12	35	4	13.968	14.928	0	0.01717798	3.532432	4.979244	0.8510676	2.889434	27243560	4324502	973336.8	0.9826072	0.79526	1.20293	0.6780758
52	13	25.974	82.464	31.158	76.704	8	33.65	10	11	29	11	7	33	6	7.44	12.432	0	0.01722444	3.538896	4.538246	0.99992	2.76247	32076520	4477552	4960972	0.9817656	0.8089108	1.218948	0.6816282
53	20	29.106	73.824	30.294	94.56	10	41.75	13	8	39	12	12	24	3	16.464	14.064	0	0.01389106	3.492186	4.490988	0.3851784	16.46518	33288760	5190944	1602972	0.9852218	0.8142386	1.226942	0.6787154
54	16	30.942	112.416	27.27	98.016	10	26.45	11	8	35	9	7	40	4	14.736	9.456	0	0.01100044	3.540454	4.539846	0.6709526	11.80344	30453020	413127.6	3435594	0.9883368	0.814161	1.21849	0.68174
55	14	26.73	88.8	30.078	85.92	8	28.43	12	9	32	11	11	20	6	13.392	11.376	0	0.01351308	3.52941	4.528618	0.521972	19.71216	34041740	10016220	1974560	0.9856744	0.8125382	1.220488	0.681001
56	12	22.518	94.56	29.862	111.84	7	35.27	9	9	40	7	12	36	5	12.432	13.968	0	0.01955816	3.533894	4.533116	0.9048342	2.773082	27048900	4888660	1562458	0.979287	0.8070092	1.219744	0.6812804
57	15	24.786	114.144	23.922	86.496	9	43.37	10	10	22	12	10	32	6	11.76	13.008	0.317741	0.6883998	5.347396	56.80956	0.9943928	2.761126	30420220	3917322	803615.2	0.278415	0.07477274	0.6471202	0.4196724
58	12	27.162	93.408	24.246	115.296	7	32.93	9	10	41	10	12	39	5	15.216	11.568	0	0.01826046	3.541274	4.540662	0.8674084	2.803024	28352700	5157084	1788584	0.9806696	0.8079396	1.218558	0.6818036
59	16	24.354	100.32	31.05	95.136	9	35.99	8	9	22	11	12	27	4	11.952	9.648	0.07576274	0.6075672	4.341324	47.50068	0.7137622	11.0158	30453000	6546964	2238104	0.3061096	0.1268078	0.8041362	0.508406
60	19	21.87	80.16	23.166	69.792	4	26.81	11	9	31	8	10	36	3	9.264	16.656	0	0.009389512	3.563682	4.563398	0.974655	4.548634	30748460	6865408	11870400	0.9900514	0.8146188	1.214592	0.6832934
61	18	32.238	78.432	21.87	89.376	8	37.61	10	10	23	12	7	36	5	15.024	7.248	0	0.01398538	3.506584	4.519054	0.6676466	14.14572	30253080	559347.8	59298.98	0.9851866	0.81281	1.223894	0.6794404
62	12	25.758	95.712	28.242	117.6	9	31.67	11	11	34	11	8	26	4	10.992	15.792	0	0.01756184	3.521844	4.520952	0.5337406	13.9444	33329140	7889032	713529.8	0.9813856	0.8094032	1.22189	0.6804972
63	12	31.482	121.056	30.942	89.952	5	32.39	9	13	20	8	8	32	5	10.704	14.64	0.2384834	0.665036	5.092004	52.81674	0.9734	4.17306	29292700	7361882	242277.6	0.291816	0.0865105	0.6803458	0.4417014
64	20	26.082	107.232	29.322	78.432	7	31.49	8	11	38	10	8	42	5	9.36	16.752	0	0.01047726	3.546606	4.546054	0.99992	2.756864	29386960	4100750	7885500	0.9888942	0.8145992	1.217708	0.6821636
65	19	29.646	72.096	23.706	92.832	5	38.87	9	9	40	9	7	32	3	7.536	8.112	0	0.01361344	3.522438	4.521496	0.99992	2.778324	29662800	1397396	6186290	0.9855604	0.812827	1.22173	0.680549
66	16	25.434	73.248	26.514	104.352	6	42.29	9	12	41	10	11	27	4	7.92	10.896	0	0.01758828	3.503528	4.502372	0.8655624	8.256822	30015400	7864586	1963038	0.9813196	0.8104006	1.22512	0.679351
67	12	31.59	98.016	27.162	68.64	7	32.75	11	8	42	9	13	32	6	15.696	10.128	0	0.01816074	3.542032	4.54143	0.892399	2.804136	28151640	2627508	3859874	0.9807758	0.8080116	1.218444	0.6818572
68	20	29.97	104.928	30.834	124.512	8	32.21	12	7	30	9	9	25	5	16.176	13.68	0	0.01071686	3.519112	4.518186	0.452495	16.4108	33513340	4869124	15855.68	0.9886134	0.8156228	1.222532	0.6802548
69	15	24.57	89.376	23.382	70.368	4	26.99	11	7	24	9	9	34	3	13.68	7.728	0	0.01197336	3.553092	4.552668	0.9179604	7.04636	28769240	338526.4	1618104	0.987322	0.812975	1.2165	0.6826312
70	16	23.058	79.584	30.186	116.448	8	33.47	8	8	22	8	13	28	4	8.976	13.776	0	0.01392006	3.522708	4.521848	0.716362	10.08224	29515480	8699410	421625.6	0.9852332	0.8126466	1.221874	0.6805264
71	19	29.862	119.904	26.622	73.824	6	37.79	7	8	31	7	13	30	4	9.168	7.824	0	0.01456298	3.526014	4.708102	0.99992	2.776158	25206460	4761248	6753.094	0.9847764	0.8044874	1.212828	0.6790904
72	12	32.022	69.216	27.81	108.384	6	30.23	10	8	33	13	11	35	3	11.664	14.544	0	0.01676336	3.541618	4.541036	0.8418708	6.417646	31268480	2824230	1459038	0.9822544	0.8093736	1.218704	0.6817946
73	11	25.218	70.944	26.73	67.488	6	38.15	9	7	37	11	13	41	5	15.984	11.472	0	0.02307844	3.524944	4.524008	0.9762662	3.411454	25837440	149721.6	4349434	0.9755384	0.8043266	1.221248	0.6807056
74	18	28.242	74.976	28.674	77.28	5	28.97	13	10	20	13	11	25	5	8.208	14.832	0	0.01070974	3.555556	4.555172	0.99992	3.106408	34016680	8870126	312642.6	0.9886554	0.8138602	1.216096	0.682725
75	18	26.406	81.312	26.082	80.736	10	40.85	13	7	37	7	8	38	5	7.248	16.176	0	0.01510174	3.516712	4.515676	0.99992	2.763014	30756160	538272.4	7174260	0.9839816	0.8117378	1.222604	0.6801962
76	17	32.13	102.624	22.302	102.048	10	31.13	8	8	31	12	11	36	5	9.744	15.984	0	0.01218528	3.547986	4.547462	0.99992	2.754098	30362540	4517752	1028717.2	0.9870898	0.8130296	1.217476	0.6822466
77	20	31.806	105.504	28.782	118.752	9	30.95	12	11	24	11	8	41	3	13.2	16.08	0	0.01029998	3.548064	4.548142	0.9267782	3.842752	31055360	2446170	407551.6	0.98908	0.8146102	1.217266	0.6823072
78	17	22.194	69.792	24.03	111.264	9	32.57	12	12	42	10	9	22	5	13.104	11.952	0	0.01274898	3.514158	4.513166	0.441767	21.20028	33846140	12331800	7034084	0.9864598	0.813944	1.223128	0.6799932
79	19	30.186	117.024	25.758	85.344	5	36.53	10	13	33	10	12	29	3	12.72	15.024	0	0.01279384	3.5237	4.522754	0.8425682	5.93502	29002820	7322888	383282.6	0.9864284	0.8135396	1.221606	0.680609
80	15	32.346	116.448	27.486	99.168	7	33.11	12	10	28	8	9	33	3	10.896	8.976	0	0.01468856	3.540844	4.54027	0.9332822	2.851978	30291620	3613454	160820.4	0.9844478	0.811103	1.21865	0.6817724
81	17	25.65	101.472	25.542	106.656	5	32.03	12	13	41	12	10	26	3	11.376	8.688	0	0.01253758	3.52213	4.521238	0.6394122	12.70014	33471680	11314320	2153858	0.9866926	0.8138064	1.2218	0.6805294
82	16	30.078	67.488	25.11	108.96	4	43.55	10	10	35	9	10	25	4	11.568	15.12	0	0.01811234	3.490404	4.489182	0.4973986	15.58614	30691980	5677318	703042.4	0.9807356	0.810644	1.227274	0.6786204
83	15	28.134	118.752	28.026	95.712	7	37.43	11	10	30	7	12	34	4	15.408	12.24	0	0.0198787	3.527342	4.844564	0.8199418	2.865206	28049940	4906576	453574.8	0.9794354	0.7958944	1.207456	0.6783686
84	13	24.246	122.208	25.002	119.904	9	33.29	10	9	41	11	10	33	4	8.784	12.912	0	0.01704012	3.540074	4.53942	0.99992	2.76124	31235900	4838148	547554.6	0.9819588	0.809038	1.218756	0.681709
85	19	23.706	119.328	29.646	77.856	8	40.13	7	9	32	11	10	31	4	14.256	16.272	0	0.01451184	3.518826	4.585746	0.8966164	3.046392	27034920	1045943	475506	0.9847074	0.8093232	1.219234	0.679588
86	16	26.622	118.176	31.59	113.568	8	29.15	9	10	32	11	10	35	4	7.728	13.392	0	0.01212332	3.5549	4.554498	0.99992	2.756178	32031980	8113956	1099720	0.9871648	0.81266	1.216222	0.682683
87	15	29.322	108.96	28.89	69.216	7	38.69	11	7	35	11	9	20	3	11.088	13.488	0	0.01716372	3.507112	4.506034	0.6679954	9.840202	31686840	931680.4	33627.08	0.9817754	0.8105514	1.224438	0.6795876
88	17	29.43	88.224	24.786	74.976	6	39.59	10	12	26	10	8	27	4	14.832	15.504	0	0.0156396	3.519768	4.539772	0.8342516	3.2652	29472860	3299026	109384	0.9834686	0.810331	1.22123	0.6801906
89	13	31.266	77.856	28.998	98.592	8	34.91	9	7	25	9	11	26	6	16.752	13.296	0	0.01786946	3.524192	4.52337	0.6628006	9.283448	29976820	3478864	110680.86	0.9810552	0.8091462	1.221714	0.680605
90	13	23.922	92.832	22.626	84.768	9	37.07	13	9	34	11	13	22	5	8.496	12.528	0	0.01897514	3.516948	4.515968	0.8433274	8.545792	32730640	8614106	311215.2	0.9798718	0.8085186	1.222988	0.680121
91	17	27.702	74.4	31.698	100.32	9	26.27	11	12	42	8	9	37	5	14.16	9.84	0	0.01028286	3.565388	4.565178	0.8584708	2.811238	29883440	6210842	8205122	0.9891114	0.8139348	1.214482	0.6834326
92	17	22.302	76.704	31.806	106.08	8	28.07	12	9	27	12	12	39	3	14.928	9.936	0	0.01098744	3.558992	4.55868	0.9041338	3.267326	31024520	3652116	358704.2	0.988366	0.8134856	1.215494	0.682975
93	20	21.978	122.784	28.566	122.784	9	38.51	9	11	23	12	9	26	4	12.528	15.888	0.2309898	0.7293622	4.973954	77.1945	0.4611124	16.45086	33371360	10453020	2239652	0.2083422	0.06200238	0.6827822	0.4413546
94	20	22.734	87.648	25.65	84.192	8	37.97	10	12	29	12	12	35	3	11.472	7.92	0	0.01263324	3.525378	4.52447	0.99992	2.854648	29452080	5666300	206957.4	0.9866008	0.8135242	1.221216	0.680734
95	18	28.566	85.344	29.43	109.536	5	43.73	12	12	24	11	10	22	6	13.296	10.8	0.07779248	0.6002614	4.342222	43.83524	0.388028	30.13322	33810040	10455380	2236878	0.3238966	0.1291976	0.7998532	0.5002328
96	13	28.998	96.288	22.086	91.104	8	26.09	12	13	27	10	9	40	5	10.224	8.4	0	0.01335462	3.566076	4.565852	0.99992	2.761394	31688140	9096780	4411116	0.9858776	0.8112038	1.214356	0.6834738
97	11	22.842	85.92	26.946	121.632	6	42.83	11	8	38	13	8	21	4	13.872	16.368	0	0.02590992	3.485208	4.484006	0.2842764	28.41304	34468680	4655670	715312	0.9724322	0.8040298	1.228148	0.6783376
98	12	26.838	103.776	26.19	112.992	5	35.09	8	8	26	11	7	31	4	13.584	13.2	0	0.01949418	3.53302	4.536604	0.8272768	3.99445	30059020	508295.8	877748.2	0.9793662	0.8068996	1.219514	0.6812588
99	18	21.762	68.64	23.058	79.584	5	28.61	11	13	26	7	9	28	4	15.792	12.816	0	0.0105767	3.556604	4.55623	0.7904318	3.42481	29652720	9334916	3542812	0.9887944	0.8138928	1.215836	0.68281
100	21	22.626	106.656	23.814	104.928	5	31.31	7	10	25	12	12	38	5	15.888	10.608	0	0.009921248	3.547516	4.546988	0.8821872	3.961516	27783540	4635670	384279	0.9894762	0.815051	1.21755	0.6822286
