numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
12;26082;48096;20.43;125664;5;27.41;11;15;31;8;14;41;5;13296;19.6;0;0.015197643;3561147143;4560838571;0.927072714;4580524286;28747700;13483042.86;3017651429;0.809673857
12;35082;127776;19.17;97824;2;21.29;6;14;45;13;8;26;4;11984;16848;0;0.011804357;3554455714;455412;0.558651571;131308;31799071.43;13009885.71;6579948571;0.812860571
13;20358;105696;34938;121056;4;23.15;6;9;50;7;5;12;3;16.88;15792;0;0.011848314;354271;4542224286;0.331301429;1820265714;34392285.71;15349328.57;16769771.43;0.813568429
11;21618;68832;25614;73.44;11;46.19;8;11;48;13;10;16;6;11856;17936;0;0.0279389;3481415714;4480197143;0.352431571;2623728571;32332385.71;8380005714;6913744286;0.802417286
16;25398;98.4;35298;67296;8;41.33;6;8;41;13;8;35;3;9232;8848;0;0.017186771;351546;4514391429;0.99992;2790348571;28716928.57;1180612143;3885791429;0.810004714
23;27.63;57696;31698;77472;11;31.31;7;5;20;10;6;30;4;14608;14224;0;0.009057377;3518012857;45171;0.480978714;1618012857;29801314.29;1288662857;2570884286;0.817066286
14;34902;121824;18954;106848;5;49.31;9;10;14;7;12;47;2;15.44;12336;0.657068571;0.809531429;6014115714;104219;0.836400143;5020191429;26236900;7454262857;59065;0.037513786
17;24426;91872;30042;122784;11;22.31;5;13;20;6;10;17;3;11696;13968;0;0.00873163;3540754286;4540065714;0.297614857;261377;31059928.57;22533800;7008461429;0.815915714
18;25362;100.32;30078;74784;4;33.65;12;13;35;11;7;26;5;10288;7216;0;0.012438343;3523157143;4522311429;0.845697571;1174885714;31924671.43;4552790;1319782857;0.813880429
20;30042;106464;28746;85.92;12;32.15;11;14;36;5;6;37;6;6288;8592;0;0.0106954;3544027143;4543448571;0.99992;2769832857;30408128.57;9149067143;7666225714;0.814568143
14;26.19;110.88;28.53;128544;6;45.05;7;8;27;6;7;15;3;13008;11312;0.180910571;0.589564857;4838935714;3782965714;0.266073857;3310918571;31716557.14;8658594286;2237714286;0.120176
21;33534;85152;21798;108576;4;44.03;6;9;37;7;6;46;6;8368;7856;0;0.013950286;3497365714;4496187143;0.847957286;1305921429;24490357.14;7870535714;4164122857;0.813873714
22;25866;60384;31662;143.52;10;26.21;9;6;45;9;8;38;5;4912;17456;0;0.007926656;3565335714;4565074286;0.99992;2747458571;33644914.29;6108444286;17992057.14;0.815986286
20;27342;87.84;21762;69216;6;34.85;10;8;22;12;15;47;2;16528;19.28;0;0.012477357;3533955714;467812;0.676687429;5221848571;26722285.71;1726021429;6477935714;0.807436143
13;26334;51168;25074;124128;7;32.33;7;10;23;14;11;37;4;8528;4336;0;0.016546529;3543417143;4542827143;0.99992;2781417143;31527628.57;7710614286;1338801429;0.809457286
